empEID,empID,snapDate,firstName,lastName,mgrEID,mgrID,costCenter,costCenterName,divisionName
TBF467,485435,9/13/2016,NULL,NULL,PJU626,263180,21045,"FS Chief of Staff Team","Financial Services Rollup"
GPG864,439151,9/13/2016,NULL,NULL,CDQ267,253154,21240,"Repo Operations","Auto Finance"
AKL370,122288,9/13/2016,NULL,NULL,FTH668,391462,21630,"LO Strategy & Command Ctr","Auto Finance"
MRH257,481746,9/13/2016,NULL,NULL,NAC662,349208,21245,"Customer Care (Tulsa)","Auto Finance"
SWY475,472322,9/13/2016,NULL,NULL,WJK831,221427,21201,"Customer Care (Plano)","Auto Finance"
WCE675,537824,9/13/2016,NULL,NULL,UZE178,168417,21543,"DataLabs India","Financial Services Rollup"
DTP862,508342,9/13/2016,NULL,NULL,VMY282,198292,28500,"CAT and Correspondence","Home Loans"
YGO400,416884,9/13/2016,NULL,NULL,MRA259,170160,21044,"FS Customer Office","Financial Services Rollup"
PQF341,520735,9/13/2016,NULL,NULL,KFG858,234191,21245,"Customer Care (Tulsa)","Auto Finance"
GDW016,108374,9/13/2016,NULL,NULL,WXZ873,224897,21232,"Repo (Plano)","Auto Finance"
PKX351,525214,9/13/2016,NULL,NULL,IXQ770,182092,21501,"Data Development","Financial Services IT"
WQJ606,364328,9/13/2016,NULL,NULL,LZN910,312236,21404,"COAF Payment Processing","Auto Finance"
AGZ038,131208,9/13/2016,NULL,NULL,WAP251,244104,21220,"LS Strategy & Command Ctr","Auto Finance"
PWI069,449256,9/13/2016,NULL,NULL,QDZ947,417552,27140,"Loan Originations Command Ctr","Home Loans"
ECH716,524374,9/13/2016,NULL,NULL,JQP660,299039,21218,"Credit Bureau Solutions","Auto Finance"
CKP797,412567,9/13/2016,NULL,NULL,OJP811,222149,21260,"LS QA And Support","Auto Finance"
LGX784,530634,9/13/2016,NULL,NULL,EYV201,210891,27151,"Mortgage Direct M&A","Home Loans"
FYI731,532420,9/13/2016,NULL,NULL,RVJ915,376735,17836,"Customer Service HL","Home Loans"
SJK949,388160,9/13/2016,NULL,NULL,HVK461,235986,21403,"Titles & Total Loss","Auto Finance"
ITH572,431474,9/13/2016,NULL,NULL,FEV654,418051,39035,"Plano Underwriters","Financial Services Rollup"
GBK314,521158,9/13/2016,NULL,NULL,JRU292,181166,27154,"Mortgage BRO Cross Function","Home Loans"
IGK939,501704,9/13/2016,NULL,NULL,SWF238,418031,27151,"Mortgage Direct M&A","Home Loans"
LVQ868,228481,9/13/2016,NULL,NULL,SSE711,255177,21404,"COAF Payment Processing","Auto Finance"
QXW122,486152,9/13/2016,NULL,NULL,CWM874,383243,17836,"Customer Service HL","Home Loans"
FQD818,481613,9/13/2016,NULL,NULL,OGX444,325567,21409,"RBC - Melville","Auto Finance"
YST981,251962,9/13/2016,NULL,NULL,EWL870,238001,21208,"LS Management","Auto Finance"
CTV051,549091,9/13/2016,NULL,NULL,MRZ222,251989,21242,"Repo (Tulsa)","Auto Finance"
XPL809,473878,9/13/2016,NULL,NULL,GPI839,169569,27154,"Mortgage BRO Cross Function","Home Loans"
KYG180,424997,9/13/2016,NULL,NULL,LDG412,423238,27149,"HL Fraud/AML","Financial Services Rollup"
IAU835,411547,9/13/2016,NULL,NULL,FBE141,361255,39050,"Govi Plano","Financial Services Rollup"
JMZ740,356743,9/13/2016,NULL,NULL,DOS699,184706,21403,"Titles & Total Loss","Auto Finance"
TBF467,485435,9/13/2016,NULL,NULL,PJU626,361532,21045,"FS Chief of Staff Team","Financial Services Rollup"
ZZK121,391564,9/13/2016,NULL,NULL,RDP180,260495,21630,"LO Strategy & Command Ctr","Auto Finance"
LHC704,449367,9/13/2016,NULL,NULL,TLO349,363849,28732,"HE Closing","Home Loans"
ZYK902,522562,9/13/2016,NULL,NULL,KFG858,183712,21245,"Customer Care (Tulsa)","Auto Finance"
QPD818,341493,9/13/2016,NULL,NULL,XRJ946,165450,21514,"COAF Tech Service Mgmt","Financial Services IT"
BDR249,151214,9/13/2016,NULL,NULL,WAP251,187770,21220,"LS Strategy & Command Ctr","Auto Finance"
GIM705,456863,9/13/2016,NULL,NULL,QIE229,309871,21262,"Manual Collections Tulsa 3","Auto Finance"
QWY250,124167,9/13/2016,NULL,NULL,QWS564,180182,21405,"RBC - Plano","Auto Finance"
SOH193,432249,9/13/2016,NULL,NULL,OEM204,239723,21262,"Manual Collections Tulsa 3","Auto Finance"
VTA714,379736,9/13/2016,NULL,NULL,HVK461,235986,21403,"Titles & Total Loss","Auto Finance"
YCQ340,404346,9/13/2016,NULL,NULL,HMA365,152432,17812,"HL Tech Svg & Default","Financial Services IT"
FAO483,387651,9/13/2016,NULL,NULL,JRU292,181166,27154,"Mortgage BRO Cross Function","Home Loans"
ACY251,425634,9/13/2016,NULL,NULL,SWF238,418031,27151,"Mortgage Direct M&A","Home Loans"
XUG294,104918,9/13/2016,NULL,NULL,KBZ599,213941,21205,"Vehicle Remarketing (Plano)","Auto Finance"
LVQ868,228481,9/13/2016,NULL,NULL,SSE711,305211,21404,"COAF Payment Processing","Auto Finance"
GLH790,180942,9/13/2016,NULL,NULL,JJS067,236261,21543,"DataLabs India","Financial Services Rollup"
GLH790,180942,9/13/2016,NULL,NULL,JJS067,230212,21543,"DataLabs India","Financial Services Rollup"
TZI779,325433,9/13/2016,NULL,NULL,TBS456,317166,21414,"RBC - DC","Auto Finance"
QED783,165588,9/13/2016,NULL,NULL,GTO899,190632,21150,"Auto Nav Funding","Auto Finance"
VOM975,434162,9/13/2016,NULL,NULL,MBH865,258985,21245,"Customer Care (Tulsa)","Auto Finance"
XPJ264,488959,9/13/2016,NULL,NULL,TBY532,348789,21236,"Dealer Recovery","Auto Finance"
TLP763,332809,9/13/2016,NULL,NULL,SZM492,200851,21238,"LM - Resolution and Retention","Financial Services Rollup"
EDN353,545920,9/13/2016,NULL,NULL,HEU428,358326,28721,"HL Bankruptcy","Home Loans"
DGL972,423951,9/13/2016,NULL,NULL,LDG412,423238,27149,"HL Fraud/AML","Financial Services Rollup"
NGN942,504254,9/13/2016,NULL,NULL,PJU626,361532,21045,"FS Chief of Staff Team","Financial Services Rollup"
VAF438,514597,9/13/2016,NULL,NULL,WJK831,221427,21201,"Customer Care (Plano)","Auto Finance"
QUD620,356100,9/13/2016,NULL,NULL,UZE178,168417,21543,"DataLabs India","Financial Services Rollup"
FPH397,434269,9/13/2016,NULL,NULL,IQQ271,214339,21260,"LS QA And Support","Auto Finance"
IJV064,484207,9/13/2016,NULL,NULL,NQW821,271021,24010,"Consumer M&A","Auto Finance"
UYG977,344443,9/13/2016,NULL,NULL,XXV407,258260,21125,"Dealer Specialty Funding","Auto Finance"
MGX015,170881,9/13/2016,NULL,NULL,ROS143,226919,27135,"Home Loans Cross Vertical Team","Home Loans"
FUN784,495138,9/13/2016,NULL,NULL,PCB109,228127,21026,"COAF Vast","Financial Services Rollup"
JQP660,216282,9/13/2016,NULL,NULL,CGD952,231172,21204,"Bankruptcies (Plano)","Auto Finance"
VLF484,381152,9/13/2016,NULL,NULL,ZRE740,287917,27138,"Mortgage BRO","Home Loans"
ZWH691,129036,9/13/2016,NULL,NULL,ZYS545,507749,27151,"Mortgage Direct M&A","Home Loans"
YSG096,423219,9/13/2016,NULL,NULL,NGF746,221371,21270,"COAF Records Management","Auto Finance"
YQB074,258744,9/13/2016,NULL,NULL,XOV518,224032,21409,"RBC - Melville","Auto Finance"
SIL943,532176,9/13/2016,NULL,NULL,RVJ915,376735,17836,"Customer Service HL","Home Loans"
VGN828,224012,9/13/2016,NULL,NULL,HVK461,235986,21403,"Titles & Total Loss","Auto Finance"
DLN540,485198,9/13/2016,NULL,NULL,SSE711,255177,21404,"COAF Payment Processing","Auto Finance"
AFV696,506479,9/13/2016,NULL,NULL,JJS067,236261,21543,"DataLabs India","Financial Services Rollup"
NQV383,348219,9/13/2016,NULL,NULL,MBS868,214348,27129,"Mtg Product Management","Financial Services Rollup"
EUK773,507874,9/13/2016,NULL,NULL,TBS456,317166,21414,"RBC - DC","Auto Finance"
IKJ335,339696,9/13/2016,NULL,NULL,EJX926,223385,17839,SPOC,"Home Loans"
MGE596,487062,9/13/2016,NULL,NULL,MBH865,258985,21245,"Customer Care (Tulsa)","Auto Finance"
ZFR185,383154,9/13/2016,NULL,NULL,EXA737,222136,21045,"FS Chief of Staff Team","Financial Services Rollup"
MYW068,432226,9/13/2016,NULL,NULL,TBY532,348789,21236,"Dealer Recovery","Auto Finance"
VIJ026,379689,9/13/2016,NULL,NULL,ERX912,371664,27103,"Mortgage Customer Office","Home Loans"
ANG795,544294,9/13/2016,NULL,NULL,HEU428,358326,28721,"HL Bankruptcy","Home Loans"
WLY034,428316,9/13/2016,NULL,NULL,RAI587,266525,27130,"HE  Command Ctr","Home Loans"
DUN749,424753,9/13/2016,NULL,NULL,LDG412,412220,27149,"HL Fraud/AML","Financial Services Rollup"
UUU148,359575,9/13/2016,NULL,NULL,GHS598,193663,21413,"RBC - Remote","Auto Finance"
UUU148,359575,9/13/2016,NULL,NULL,GHS598,193663,21413,"RBC - Remote","Auto Finance"
KYT833,331590,9/13/2016,NULL,NULL,DOS699,184706,21403,"Titles & Total Loss","Auto Finance"
NGN942,504254,9/13/2016,NULL,NULL,PJU626,263180,21045,"FS Chief of Staff Team","Financial Services Rollup"
